Date,predicted_mean
2022-01-07,0.0
2022-01-08,56646.223781954846
2022-01-09,95864.44623025533
2022-01-10,90477.6811983483
2022-01-11,104650.79113836684
2022-01-12,138290.53858785826
2022-01-13,142926.09913270347
2022-01-14,131662.14835434308
2022-01-15,161367.6848553898
2022-01-16,192821.98757026263
2022-01-17,208748.04202660112
2022-01-18,216451.98165250517
2022-01-19,222566.6011733822
2022-01-20,261553.42159791655
2022-01-21,255427.7648272403
2022-01-22,262165.94806475786
2022-01-23,254282.73666668465
2022-01-24,257878.7452932265
2022-01-25,265768.6338820672
2022-01-26,266357.7935329383
2022-01-27,299162.8554648384
2022-01-28,318373.34564804874
2022-01-29,309864.80325803254
2022-01-30,304947.4221877773
2022-01-31,304323.6728106752
2022-02-01,323710.87807676796
2022-02-02,352479.8283139636
2022-02-03,353496.4372503067
2022-02-04,363225.0440719886
2022-02-05,355181.9088791635
2022-02-06,334962.3252846253
2022-02-07,310678.80448300036
2022-02-08,299218.7573651179
2022-02-09,319338.62129701977
2022-02-10,317509.7268914966
2022-02-11,300591.53161823505
2022-02-12,291326.06439484155
2022-02-13,268553.94510304707
2022-02-14,280039.0368698997
2022-02-15,262385.6219717914
2022-02-16,283507.6983658196
2022-02-17,286580.00919245864
2022-02-18,328093.1281144478
2022-02-19,285514.7293244249
2022-02-20,277719.62633939565
2022-02-21,278385.3071001256
2022-02-22,274803.50509983365
2022-02-23,300732.19707502634
2022-02-24,283288.37721062824
2022-02-25,259923.521968724
2022-02-26,254471.28849283064
2022-02-27,251760.44032337843
2022-02-28,248817.86499019573
2022-03-01,252091.67812099072
2022-03-02,242203.99324889464
2022-03-03,253409.43299801837
2022-03-04,244334.79475406415
2022-03-05,214400.88713463017
2022-03-06,223248.90080220197
2022-03-07,222412.90204399452
2022-03-08,217376.26492589188
2022-03-09,212136.3434565129
2022-03-10,202349.8695985301
2022-03-11,208366.43958347235
2022-03-12,220160.10412878467
2022-03-13,202534.03267685638
2022-03-14,182211.86333048335
2022-03-15,185975.94157255054
2022-03-16,196446.5246369957
2022-03-17,214367.94301760834
2022-03-18,181487.17639326447
2022-03-19,178044.5588496541
2022-03-20,163816.7717225637
2022-03-21,154889.84231446186
2022-03-22,169676.25675885912
2022-03-23,162777.95534168303
2022-03-24,158293.77973656787
2022-03-25,165535.25236860843
2022-03-26,155718.15603916027
2022-03-27,149384.38997640318
2022-03-28,161878.8673794081
2022-03-29,170347.0369633144
2022-03-30,156298.9720919035
2022-03-31,155252.83652027795
2022-04-01,142985.04757377366
2022-04-02,140951.1784978191
2022-04-03,153764.29199130597
2022-04-04,131485.74914589513
2022-04-05,129726.05751143496
2022-04-06,123563.80890420088
2022-04-07,119123.1594400559
2022-04-08,117963.42405030424
2022-04-09,134430.62015769773
2022-04-10,135936.80268873047
2022-04-11,127874.7867865325
2022-04-12,115422.71216841464
2022-04-13,113253.04325031453
2022-04-14,121712.55979750608
2022-04-15,115314.21838238169
2022-04-16,125801.36939360957
2022-04-17,113997.405874586
2022-04-18,106985.31753725995
2022-04-19,111664.6585064655
2022-04-20,109203.56267392827
2022-04-21,104457.62222060034
2022-04-22,98924.71406922674
2022-04-23,113613.49179186382
