Date,predicted_mean
2022/1/7,57608.36546860503
2022/1/8,97420.19082002455
2022/1/9,91072.40661859767
2022/1/10,101857.09996017498
2022/1/11,137411.30121422632
2022/1/12,143978.83419934282
2022/1/13,132937.24317812984
2022/1/14,160888.08934417434
2022/1/15,187819.6232514169
2022/1/16,202229.65882903856
2022/1/17,218407.1549356693
2022/1/18,224430.95906539613
2022/1/19,258939.19212119142
2022/1/20,260013.46683826044
2022/1/21,254696.3102336299
2022/1/22,241984.94943685524
2022/1/23,261191.9176437231
2022/1/24,254232.00016379604
2022/1/25,268778.15749347967
2022/1/26,287955.008911849
2022/1/27,317337.46421822143
2022/1/28,307914.285893948
2022/1/29,301144.18084814603
2022/1/30,296359.71950372856
2022/1/31,322954.95169903507
2022/2/1,357383.844381127
2022/2/2,353960.2247385692
2022/2/3,363070.70592600043
2022/2/4,363841.4062012959
2022/2/5,333399.6213434302
2022/2/6,312399.2767151754
2022/2/7,299361.3680511058
2022/2/8,326968.06200389215
2022/2/9,324101.7048901683
2022/2/10,302314.1376310616
2022/2/11,275424.4049645111
2022/2/12,265788.0989677577
2022/2/13,287319.008986023
2022/2/14,264378.69613562163
2022/2/15,284561.2341962588
2022/2/16,276115.9589259923
2022/2/17,338022.09544189816
2022/2/18,289414.3548779182
2022/2/19,266237.53182043013
2022/2/20,283090.3942376461
2022/2/21,262062.72386603098
2022/2/22,303920.6121588796
2022/2/23,281553.1682308753
2022/2/24,265792.2682681278
2022/2/25,254579.37649849456
2022/2/26,248253.2032941687
2022/2/27,241109.91059781171
2022/2/28,243900.68149484304
2022/3/1,239515.47007429024
2022/3/2,237673.54098330683
2022/3/3,248502.9507018343
2022/3/4,217895.30849373146
2022/3/5,222102.06327734672
2022/3/6,228380.70869106814
2022/3/7,220213.90393482594
2022/3/8,209470.94877920215
2022/3/9,201833.05642184074
2022/3/10,203034.3387748147
2022/3/11,223151.57448011468
2022/3/12,199448.49313214334
2022/3/13,185284.98802299873
2022/3/14,186933.75140047414
2022/3/15,190133.5583882035
2022/3/16,213830.96430187585
2022/3/17,181712.96843419803
2022/3/18,183411.20783990645
2022/3/19,164933.81254822825
2022/3/20,160290.9755486632
2022/3/21,170673.519540077
2022/3/22,159135.2851645534
2022/3/23,156673.63322948644
2022/3/24,161494.46456107014
2022/3/25,152512.92851587245
2022/3/26,150671.59817471768
2022/3/27,159041.2729821952
2022/3/28,168754.06582769743
2022/3/29,155391.7027663127
2022/3/30,159548.5253983158
2022/3/31,143660.30331846903
2022/4/1,141526.59949709947
2022/4/2,156896.44722910752
2022/4/3,130881.51388781349
2022/4/4,130985.55680776923
2022/4/5,126727.36655509302
2022/4/6,122905.41715717032
2022/4/7,117025.57291712482
