,0
0,129605.98003713989
1,129605.98003713989
2,129605.98003713989
3,129605.98003713989
4,129605.98003713989
5,129605.98003713989
6,129605.98003713989
7,129605.98003713989
8,129605.98003713989
9,129605.98003713989
10,129605.98003713989
11,129605.98003713989
12,129605.98003713989
13,129605.98003713989
14,129605.98003713989
15,129605.98003713989
16,129605.98003713989
17,129605.98003713989
18,129605.98003713989
19,129605.98003713989
20,129605.98003713989
21,129605.98003713989
22,129605.98003713989
23,129605.98003713989
24,129605.98003713989
25,129605.98003713989
26,129605.98003713989
27,129605.98003713989
28,129605.98003713989
29,129605.98003713989
30,129605.98003713989
31,129605.98003713989
32,129605.98003713989
33,129605.98003713989
34,129605.98003713989
35,129605.98003713989
36,129605.98003713989
37,129605.98003713989
38,129605.98003713989
39,129605.98003713989
40,129605.98003713989
41,129605.98003713989
42,129605.98003713989
43,129605.98003713989
44,129605.98003713989
45,129605.98003713989
46,129605.98003713989
47,129605.98003713989
48,129605.98003713989
49,129605.98003713989
50,129605.98003713989
51,129605.98003713989
52,129605.98003713989
53,129605.98003713989
54,129605.98003713989
55,129605.98003713989
56,129605.98003713989
57,129605.98003713989
58,129605.98003713989
59,129605.98003713989
60,129605.98003713989
